찬송가,새찬송가,찬송가 제목,새찬송가 제목,조표,박자,작곡자,속도
121,121,우리 구주 나신 날,우리 구주 나신 날,2#,6월 8일,L.Mason,보통으로
122,122,참 반가운 신도여,참 반가운 신도여,3#,4월 4일,J.F.Wade,보통으로
123,123,저 들밖에 한밤중에,저 들밖에 한밤중에,2#,3월 4일,W.Sandys,100
124,  ,한밤에 양을 치는 자,한밤에 양을 치는 자,2#,4월 4일,Arr.G.F.Handel,100
125,125,천사들의 노래가,천사들의 노래가,1b, 4/4,Arr.by E.S.Barnes,조금빠르게
126,126,천사 찬송하기를,천사 찬송하기를,1b,4월 4일,F. Mendelssohn,보통으로
127,,예수님의 귀한 사랑,예수님의 귀한 사랑,3b,4월 4일,F.J.Haydn,96
128,139,오 영원한 내 주 예수,오 영원한 내 주 예수,3b,4월 4일,C.W.Laufer,보통으로
129,,오 젊고 용감하신,오 젊고 용감하신,3b,4월 4일,J.B.Dykes,104
130,140,왕 되신 우리 주께,왕되신 우리 주께,0,4월 4일,M.Teschner,보통으로
131,,주 예수 나귀 타고,주 예수 나귀 타고,3b,4월 4일,B.Tours,100
132,141,호산나 호산나,호산나 호산나,2b,4월 4일,K. Hofkapelle,보통으로
133,135,어저께나 오늘이나,어저께나 오늘이나,2b,6월 8일,J.B.Burke,보통으로
134,,감람산 깊은 밤중에,감람산 깊은 밤중에,4b,4월 4일,W.B.Bradbury,112
135,150,갈보리산 위에,갈보리산 위에,2b,6월 8일,G.Bennard,조금느리게
136,147,거기 너 있었는가,거기 너 있었는가,3b,4월 4일,Traditional Spirtual,보통으로
137,251,놀랍다 주님의 큰 은혜,놀랍다 주님의 큰 은혜,1#,3월 4일,D.B.Towner,조금빠르게
138,151,만왕의 왕 내 주께서,만왕의 왕 내 주께서,4#,4월 4일,R.E.Hudson,조금빠르게
139,154,생명의 주여 면류관,생명의 주여 면류관,3b,4월 4일,W.J.Kirkparick,조금빠르게
140,,성도들아 다 나아와,성도들아 다 나아와,1b,2월 2일,J.B.Dykes,80
141,143,웬 말인가 날 위하여,웬 말인가 날 위하여,4b,3월 4일,H.Wilson,보통으로
142,142,영화로신 주 예수의,영화로신 주 예수의,2b,4월 4일,J.R.Sweney,보통으로
143,,십자가에 달리신,십자가에 달리신,2b,4월 4일,Traditional Welsh,84
144,144,예수 나를 위하여,예수 나를 위하여,1b,6월 8일,W.H.Doane,보통으로
145,145,오 거룩하신 주님,오 거룩하신 주님,0,4월 4일,H.L.Hassler,조금느리게
146,146,저 멀리 푸른 언덕에,저 멀리 푸른 언덕에,3b,6월 8일,G.C.Stebbins,보통으로
147,149,주 달려 죽은 십자가,주 달려 죽은 십자가,1b,4월 4일,Gregorian Melody,보통으로
148,,주가 지신 십자가를,주가 지신 십자가를,2b,3월 4일,l.conket,112
149,159,기뻐 찬송하세,기뻐 찬송하세,1#,3월 4일,J.J.Husband,조금빠르게
150,160,무덤에 머물러,무덤에 머물러,2b,4월 4일,R..Lowry,조금느리게
151,162,다시 사신 구세주,부활하신 구세주,2b,6월 8일,A.H.Ackley,보통으로
152,172,사망에 이긴 주,사망을 이긴 주,0,3월 2일,G.F.Root,보통으로
153,,오늘 다시 사심을,오늘 다시 사심을,0,4월 4일,T.Clark,100
154,164,예수 부활했으니,예수 부활했으니,0,4월 4일,Arr Lyra Davidica,조금빠르게
155,165,주님께 영광,주님께 영광,3b,4월 4일,G.F.Handel,조금빠르게
156,166,싸움은 모두 끝나고,싸움은 모두 끝나고,2#,3월 4일,G.P du Palestrina,보통으로
157,167,즐겁도다 이 날,즐겁도다 이 날,1#,4월 4일,F.R.Hanergal,조금빠르게
158,168,하늘에 찬송이 들리던 그 날,하늘에 찬송이 들리던 그 날,5b,9월 4일,C.H.Marsh,조금빠르게
159,161,할렐루야 우리 예수,할렐루야 우리 예수,1b,3월 4일,P.P.Bliss,조금빠르게
160,163,할렐루야 할렐루야,할렐루야 할렐루야,2b,6월 4일,Traditional French ,보통으로
161,174,대속하신 구주께서,대속하신 구주께서,2#,3월 4일,C.Lockhart,조금빠르게
162,175,신랑 되신 예수께서,신랑 되신 예수께서,3b,4월 4일,W.J.Kirkparick,보통으로
163,176,언제 주님 다시 오실는지,주 어느 때 다시 오실는지,2b,4월 4일,W.H.Doane,조금빠르게
164,177,오랫동안 고대하던,오랫동안 고대하던,1#,4월 4일,J.M.Kirk,조금빠르게
165,,저 산 너머 먼동튼다,저 산 너머 먼동 튼다,1#,3월 4일,Welsh Humn,100
166,,주 예수 믿는 자여,주 예수 믿는 자여,2#,4월 4일,H.T.Smart,104
167,179,주 예수의 강림이,주 예수의 강림이,1#,4월 4일,J.H.Hopkins,보통으로
168,180,하나님의 나팔소리,하나님의 나팔소리,1#,4월 4일,J.M.Black,조금빠르게
169,182,강물같이 흐르는 기쁨,강물같이 흐르는 기쁨,4b,3월 4일,W.S.Marshall,96
170,,구주여 크신 인애를,구주여 크신 인애를,4b,3월 2일,Arr by L.Mason,88
171,171,비둘기같이 온유한,비둘기같이 온유한,3b,2월 2일,G.Hews,66
172,183,빈 들에 마른 풀 같이,빈 들에 마른 풀같이,2b,6월 8일,J.McGranahan,보통으로
173,184,불길 같은 성신여,불길 같은 주 성령,1#,3월 4일,Old English,보통으로
174,196,성령의 은사를,성령의 은사를,1b,3월 4일,R.Jackson,보통으로
175,195,성령이여 우리 찬송 부를때,성령이여 우리 찬송 부를 때,1#,4월 4일,J.F.Swift,조금빠르게
176,186,영화로신 주성령,영화로신 주 성령,2b,3월 4일,L.M.Gottchalk,보통으로
177,190,성령이여 강림하사,성령이여 강림하사,1#,6월 4일,J.R.Sweney,보통으로
178,197,은혜가 풍성한 하나님은,은혜가 풍성한 하나님은,3b,4월 4일,M.J.Harris,조금빠르게
179,185,이 기쁜 소식을,이 기쁜 소식을,0,3월 4일,W.J.Kirkparick,조금빠르게
180,188,무한하신 주 성령,무한하신 주 성령,1#,4월 4일,U.S.Burmap,보통으로
181,189,진실하신 주 성령,진실하신 주 성령,1#,3월 4일,M.M.Wells,보통으로
182,250,구주의 십자가 보혈로,구주의 십자가 보혈로,4b,4월 4일,J.H.Stockton,보통으로
183,283,나 속죄함을 받은 후,나 속죄함을 받은 후,1b,4월 4일,E.O.Excell,보통으로
184,252,나의 죄를 씻기는,나의 죄를 씻기는,1#,4월 4일,R.Lowry,보통으로
185,311,내 너를 위하여,내 너를 위하여,0,6월 8일,P.P.Bliss,보통으로
186,254,내 주의 보혈은,내 주의 보혈은,3b,3월 4일,L.Hartsough,보통으로
187,255,너희 죄 흉악하나,너희 죄 흉악하나,4b,3월 4일,W.H.Doane,보통으로
188,494,만세반석 열리니,만세반석 열리니,2b,3월 4일,T.Hastings,보통으로
189,257,마음에 가득한 의심을 깨치고,마음에 가득한 의심을 깨치고,1b,4월 4일,R.K.Cater,보통으로
190,258,샘물과 같은 보혈은,샘물과 같은 보혈은,2b,4월 4일,Arr byL.Mason,보통으로
191,297,양 아흔 아홉 마리는,양 아흔 아홉 마리는,4b,6월 8일,I.D.Snkey,보통으로
192,,영원히 죽게 될 내 영혼,영원히 죽게 될 내 영혼,3b,4월 4일,G.C.Tullar,92
193,259,예수 십자가에 흘린 피로써,예수 십자가에 흘린 피로써,4b,4월 4일,E.A.Hoffman,보통으로
194,260,우리를 죄에서 구하시려,우리를 죄에서 구하시려,2b,4월 4일,P.P.Billhorn,보통으로
195,261,이 세상의 모든 죄를,이 세상의 모든 죄를,2#,4월 4일,H.S.Perkins,보통으로
196,262,날 구원하신 예수를,날 구원하신 예수를,1b,3월 2일,L.Mason,보통으로
197,263,이 세상 험하고,이 세상 험하고,2#,3월 4일,J.T.Grape,보통으로
198,264,정결하게 하는 샘이,정결하게 하는 샘이,3b,4월 4일,M.J.Harris,보통으로
199,265,주 십자가를 지심으로,주 십자가를 지심으로,0,4월 4일,J.G.Foote,보통으로
200,266,주의 피로 이룬 샘물,주의 피로 이룬 샘물,3b,3월 4일,P.P.Knapp,보통으로
201,267,주의 확실한 약속의 말씀 듣고,주의 확실한 약속의 말씀 듣고,1b,3월 4일,P.P.Bliss,보통으로
202,268,죄에서 자유를 얻게 함은,죄에서 자유를 얻게 함은,2b,4월 4일,L.E.Jones,보통으로
203,,나 행한 것으로,나 행한 것으로,2#,4월 4일,Har. By A.Sullivan,100
204,288,예수로 나의 구주 삼고,예수로 나의 구주 삼고,2#,9월 8일,P.P.Knapp,보통으로
205,287,예수 앞에 나오면,예수 앞에 나오면,3b,3월 4일,신편 찬송가,보통으로
206,284,오랫동안 모든 죄 가운데 빠져,오랫동안 모든 죄 가운데 빠져,2b,4월 4일,G.A.Minor,보통으로
207,,주 나에게 주시는,주 나에게 주시는,2b,3월 4일,E.O.Excell,104
208,289,주 예수 내 맘에 들어와,주 예수 내 맘에 들어와,4b,4월 4일,C.H.Gabriel,보통으로
209,285,주의 말씀 받은 그 날,주의 말씀 받은 그 날,1b,3월 2일,Arr. E.F.Rimbault,보통으로
210,421,내 죄 사함 받고서,내가 예수 믿고서,1#,4월 4일,W.S.Martin,보통으로
211,269,그 참혹한 십자가에,그 참혹한 십자가에,1#,4월 4일,신증복음가,보통으로
212,420,너 성결키 위해,너 성결키 위해,1b,6월 8일,G.C.Stebbins,보통으로
213,423,먹보다도 더 검은,먹보다도 더 검은,4b,3월 4일,H.H.Booth,보통으로
214,270,변찮는 주님의 사랑과,변 찮는 주님의 사랑과,1#,4월 4일,J.P.Webster,보통으로
215,426,이 죄인을 완전케 하옵시고,이 죄인을 완전케 하옵시고,4b,3월 4일,W.G.Fischer,보통으로
216,424,아버지여 나의 맘을,아버지여 나의 맘을,4#,3월 2일,I.B.Woodbury,보통으로
217,425,주님의 뜻을 이루소서,주님의 뜻을 이루소서,3b,9월 4일,G.C.Stebbins,보통으로
218,286,주 예수님 내 맘에 오사,주 예수님 내 맘에 오사,1b,6월 4일,H.D.Clarke,보통으로
